date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:27:46	10820/10820	---M--	200	added ('OK')	image/svg+xml	etag:%225892edb0-2a44%22	http://opennepal.net/odd2017/hackathon/src/assets/images/criteria.svg	C:/xampp/htdocs/series/hackdata/opennepal.net/odd2017/hackathon/src/assets/images/criteria.svg	(from http://opennepal.net/odd2017/hackathon/)
11:27:46	10423/10423	---M--	200	added ('OK')	image/svg+xml	etag:%225892edb0-28b7%22	http://opennepal.net/odd2017/hackathon/src/assets/images/boy_speech.svg	C:/xampp/htdocs/series/hackdata/opennepal.net/odd2017/hackathon/src/assets/images/boy_speech.svg	(from http://opennepal.net/odd2017/hackathon/)
11:27:48	58316/58316	---M--	200	added ('OK')	image/svg+xml	etag:%225892edb0-e3cc%22	http://opennepal.net/odd2017/hackathon/src/assets/images/winners.svg	C:/xampp/htdocs/series/hackdata/opennepal.net/odd2017/hackathon/src/assets/images/winners.svg	(from http://opennepal.net/odd2017/hackathon/)
11:27:49	19914/19914	---M--	200	added ('OK')	image/svg+xml	etag:%225892edb0-4dca%22	http://opennepal.net/odd2017/hackathon/src/assets/images/yipl.svg	C:/xampp/htdocs/series/hackdata/opennepal.net/odd2017/hackathon/src/assets/images/yipl.svg	(from http://opennepal.net/odd2017/hackathon/)
11:27:51	22300/22300	---M--	200	added ('OK')	image/svg+xml	etag:%225892edb0-571c%22	http://opennepal.net/odd2017/hackathon/src/assets/images/leapfrog.svg	C:/xampp/htdocs/series/hackdata/opennepal.net/odd2017/hackathon/src/assets/images/leapfrog.svg	(from http://opennepal.net/odd2017/hackathon/)
11:27:51	4993/4993	---M--	200	added ('OK')	image/jpeg	etag:%2258a67e54-1381%22	http://opennepal.net/odd2017/hackathon/src/assets/images/giz.jpg	C:/xampp/htdocs/series/hackdata/opennepal.net/odd2017/hackathon/src/assets/images/giz.jpg	(from http://opennepal.net/odd2017/hackathon/)
11:27:52	10764/10764	---M--	200	added ('OK')	image/svg+xml	etag:%2258984f68-2a0c%22	http://opennepal.net/odd2017/hackathon/src/assets/images/opennepal.svg	C:/xampp/htdocs/series/hackdata/opennepal.net/odd2017/hackathon/src/assets/images/opennepal.svg	(from http://opennepal.net/odd2017/hackathon/)
11:27:53	11525/11525	---M--	200	added ('OK')	image/png	etag:%2258ad4bde-2d05%22	http://opennepal.net/odd2017/hackathon/src/assets/images/facts.png	C:/xampp/htdocs/series/hackdata/opennepal.net/odd2017/hackathon/src/assets/images/facts.png	(from http://opennepal.net/odd2017/hackathon/)
11:27:53	5199/5199	---M--	200	added ('OK')	image/jpeg	etag:%225892edb0-144f%22	http://opennepal.net/odd2017/hackathon/src/assets/images/ran.jpg	C:/xampp/htdocs/series/hackdata/opennepal.net/odd2017/hackathon/src/assets/images/ran.jpg	(from http://opennepal.net/odd2017/hackathon/)
11:27:54	4383/4383	---M--	200	added ('OK')	image/jpeg	etag:%225892edb0-111f%22	http://opennepal.net/odd2017/hackathon/src/assets/images/women_in_tech.jpg	C:/xampp/htdocs/series/hackdata/opennepal.net/odd2017/hackathon/src/assets/images/women_in_tech.jpg	(from http://opennepal.net/odd2017/hackathon/)
